unit,Baskets_combined_simplified,Latest basket (2021),n (world),grouping,group,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,World,World,NA,NA,NA,NA,NA,2.17,1.81,1.36,1.502868243,1.395158527,1.436883219,1.368050191,1.230841736,1.25201856
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,LDC,LDC,NA,NA,NA,NA,NA,31.945,21.405,16.68,14.55274651,12.00571814,7.838053017,7.514396686,6.198085547,6.462396998
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,LLDC,LLDC,NA,NA,NA,NA,NA,9.95,9.16,4.88,4.241913745,3.570729299,3.160385215,2.869077241,2.551152244,2.667060918
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,SIDS,SIDS,NA,NA,NA,NA,NA,4.14,3.45,2.99,2.918674302,2.768581038,2.728339394,3.069381819,2.71693902,3.13035546
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,40.54,25.48,19.34,17.54335694,13.51816892,10.52184026,10.52184026,9.523973472,10.46031017
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,9.92,7.41,5.32,4.437319109,4.332940708,3.661799431,3.410548667,2.798534996,2.781888609
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,2.86,2.28,1.64,1.797064794,1.719486215,1.60150014,1.670146138,1.30162465,1.693096148
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,WB Income levels 2021,High income,NA,NA,NA,NA,NA,0.74,0.69,0.59,0.596167114,0.672181225,0.587937317,0.699806047,0.519017299,0.506767022
GNIpc,Data-only mobile broadband,Data-only mobile broadband 2GB,137,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,4.335,3.765,3.01,2.938171006,2.771362087,2.65909487,2.488440985,2.122210278,2.326946991
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,ITU BDT Regions,Africa,23.01,17.655,14.435,14.465,11,11.30298082,10.2,8.1,6.45,8.062101169,5.831964148,5.831964148,4.474046045,3.517774613
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,ITU BDT Regions,Arab States,3.58,3.23,3.05,2.9,2.47,1.760268639,1.2,1.1,0.9,0.932452959,0.646239554,0.661095636,0.609265901,0.852667779
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,ITU BDT Regions,Asia & Pacific,3.525,2.315,2.565,2.085,1.815,1.2964499,1.55,1.2,1.25,1.234403135,0.775018784,0.943287276,0.917162517,1.031262583
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,ITU BDT Regions,CIS countries,2.095,1.65,1.615,1.82,1.47,1.476128944,1.4,1,0.8,0.917608434,0.787406304,0.819605066,0.830928684,0.870650457
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,ITU BDT Regions,Europe countries,1.79,1.56,1.23,1.23,1.2,1.194178364,1,0.7,0.7,0.834306225,0.588298372,0.668392182,0.592924228,0.509592237
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,ITU BDT Regions,The Americas,3.84,3.78,3.35,3.31,2.82,2.994071866,2.9,2.1,2.3,2.613469071,2.095275591,2.095275591,1.962128845,2.786289118
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,World,World,3.58,3,2.88,2.75,2.35,1.904521868,1.8,1.4,1.4,1.388362762,1.047440897,1.085879079,1.081232549,1.06240282
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,LDC,LDC,22.91,18.21,15.78,16.3,11.83,12.4538002,10.4,8.4,7.1,8.316964736,6.039910536,6.039910536,4.954054054,4.079523165
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,LLDC,LLDC,10.55,8.345,7.7,6.84,6.415,5.091985754,4.2,4.25,3.95,3.934314801,2.923220544,2.845821054,2.24194944,2.63983439
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,SIDS,SIDS,3.75,3.35,3.15,3.22,2.71,2.994071866,2.9,3.7,3,2.956361543,2.912849424,2.912849424,2.52202221,3.397161973
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,WB Income levels 2021,Low income,53.185,40.955,37.76,24.56,22.855,22.46210096,21.65,16.45,14.05,13.13726321,12.25679027,12.67899799,7.853820727,7.4836159
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,WB Income levels 2021,Lower middle income,10.35,8.345,7.7,6.545,5.205,4.690199109,4.3,4.1,4.1,4.820673914,3.601381817,3.587689011,3.282926277,2.758073368
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,WB Income levels 2021,Upper middle income,3.885,3.815,3.25,3.265,2.755,2.621292854,2.15,1.8,1.65,1.829573556,1.530769822,1.674110106,1.413894625,1.144351667
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,WB Income levels 2021,High income,1.01,1.01,1.02,1,0.94,0.69495474,0.7,0.6,0.5,0.592885375,0.561448232,0.588298372,0.549323985,0.439255782
GNIpc,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),133,WB Income levels 2021,low and middle income,5.765,5.04,4.605,4.095,3.73,3.281755976,3,2.8,2.6,2.681305856,2.452947546,2.4643631,1.959630218,1.974905785
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.46821433,9.629974606,8.854634095,7.056142195
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.123310719,1.448123236,1.096210074,1.207811836
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.015850123,2.015850123,1.741903241,1.928951651
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.394321842,1.115457474,0.956597701,1.137558153
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732390506,0.835581021,0.817616759,0.556910973
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.769798708,2.842999262,2.866281987,3.314304523
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,World,World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.356052754,2.058984631,1.887257758,2.016492641
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,LDC,LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.98279408,11.46412073,9.686287166,9.626604078
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,LLDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.031380247,5.568289866,4.263849628,3.346792649
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,SIDS,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.624107526,4.317200636,3.833251876,4.955811524
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.76008827,21.77185783,20.03174033,12.72079473
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.936454369,5.515651478,4.460043034,4.0868415
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.395911819,2.21076559,1.863879424,2.026826877
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,WB Income levels 2021,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724301405,0.769553428,0.775798057,0.581694513
GNIpc,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70min+20sms+500MB),177,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.613799495,4.317200636,3.704127212,3.328763507
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.90313861,19.90313861,14.41892272,11.09829797
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53501064,2.482496976,2.183833518,2.344836392
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.348353543,2.874694382,2.59012343,2.97460384
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.265772994,1.810401356,0.956597701,1.91430975
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.006609804,0.933787258,0.943403952,0.705371501
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.698566805,3.222520617,3.136184211,3.914764271
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,World,World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.155947598,2.874694382,2.574235714,2.857175994
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,LDC,LDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.80772587,21.89959834,17.29907854,15.56534724
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,LLDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.31871208,11.31871208,8.298317835,6.473223534
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,SIDS,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.348745378,4.701269934,4.429033102,4.953241741
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.58020342,54.3779807,28.65583029,23.44567896
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16311649,8.543156613,6.989683677,6.126587142
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.210433069,3.222520617,2.626065461,2.960680315
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,WB Income levels 2021,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.006609804,1.006609804,0.950665824,0.751762307
GNIpc,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140min+70sms+2GB),180,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.675220839,6.201044161,5.175,5.292109318
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,ITU BDT Regions,Africa,190.55,136.05,111.51,103,89.335,75.845,74.135,69.785,62.965,59.81817383,57.470002,57.470002,57.32756719,62.9661056
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,ITU BDT Regions,Arab States,54.23,53.2,53.6,49.99,46.12,45.35,44.54,34.99,28.1,41.64981778,43.8987295,45.96387383,61.94713382,78.51061403
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,ITU BDT Regions,Asia & Pacific,46.74,41.66,33.08,35.24,39.23,31.92,28.3,28.3,26.33,26.36890935,33.0190863,34.23236357,41.25514536,41.05634122
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,ITU BDT Regions,CIS countries,48.675,48.81,43.015,30.135,21.15,17.665,19.74,22.215,18.24,16.7216602,21.38653698,20.450805,25.22259637,25.08282434
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,ITU BDT Regions,Europe countries,27.17,26.48,26.87,26.15,25.88,25.28,25.88,25.74,27.91,31.26859572,33.29129419,34.6368955,34.93814405,34.4067323
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,ITU BDT Regions,The Americas,58.78,38.77,40.9,36.31,36.61,36.31,36.34,37.8,39.74,42.89072905,42.7654167,43.54,48.21416129,51.51728968
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,World,World,45.92,37.105,35.255,33.66,31.69,31.34,32.315,30.77,31.98,34.22447652,39.11597441,40.47024845,43.5272914,43.47564381
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,LDC,LDC,205.58,180.22,113.58,99.63,73.61,60.18,49.41,54.22,47,51.8954334,49.81278368,53.37083966,52.03226915,54.01138601
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,LLDC,LLDC,100.47,100.41,93.61,69.675,59.12,56.58,34.955,40.425,39.365,44.80690434,46.83128899,46.83128899,49.80562431,46.23851597
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,SIDS,SIDS,63.08,44.49,41.57,37.93,42.22,38.38,36.25,33.18,26.49,42.28421967,42.48364671,42.48364671,46.63121187,48.94622129
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,WB Income levels 2021,Low income,358.91,263.025,319.345,114.44,100.15,101.67,102.975,98.31,81.575,101.3284601,58.76679189,58.76679189,59.09527966,77.33676614
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,WB Income levels 2021,Lower middle income,87.52,86.33,73.3,61.59,51.89,48.92,35.96,44.54,41.05,44.36274567,42.60491161,42.60491161,52.61428113,54.45925024
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,WB Income levels 2021,Upper middle income,46.57,36.83,34.21,33.51,30.69,30.92,30.89,29.36,32.13,29.20186022,34.3111149,39.41628511,39.47653743,40.51852656
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,WB Income levels 2021,High income,27.34,27.15,28.875,29.04,28.745,27.82,29.33,29.29,29.945,33.41226277,35.86518068,35.96927174,41.55536531,41.61088173
PPP,Fixed broadband basket,Fixed broadband basket (5GB),126,WB Income levels 2021,low and middle income,66.325,53.78,47.435,42.105,40.49,38.89,35.945,32.88,35.59,35.4413949,42.45902345,42.54427916,48.11105699,46.54391746
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,ITU BDT Regions,Africa,NA,NA,NA,NA,NA,44.01,33.24,33.65,29.29364264,21.38450918,19.07028556,19.07028557,17.68800135,17.40687127
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,ITU BDT Regions,Arab States,NA,NA,NA,NA,NA,29.35,24.99,23.98,25.00806772,31.87912481,25.60604056,25.41618353,24.39775463,26.17020468
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,ITU BDT Regions,Asia & Pacific,NA,NA,NA,NA,NA,30.71,24.66,18.175,17.07848035,18.06711763,16.1341266,14.81492977,13.32273223,14.50924627
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,ITU BDT Regions,CIS countries,NA,NA,NA,NA,NA,19.555,19.44,14.22,14.71728974,14.27954994,12.63948884,11.19961812,10.63721979,14.56010817
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,ITU BDT Regions,Europe countries,NA,NA,NA,NA,NA,14.97,13.98,13.655,13.43093916,15.76217495,16.51226068,18.48976714,18.14982336,14.9533413
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,ITU BDT Regions,The Americas,NA,NA,NA,NA,NA,33.59,30.57,26.97,26.53347427,25.93564246,25.29733699,25.19387248,21.79544278,23.55060732
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,World,World,NA,NA,NA,NA,NA,26.43,22.61,19.2,18.25577953,18.49893871,18.14431204,18.52558569,18.05073119,17.22462353
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,LDC,LDC,NA,NA,NA,NA,NA,44.46,33.24,27.16,21.30079952,21.38450918,16.05955681,16.05955681,15.8996326,17.40687127
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,LLDC,LLDC,NA,NA,NA,NA,NA,26.61,26.09,17.94,17.50789196,17.78222544,16.05955681,16.05955681,13.88973665,16.78085085
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,SIDS,SIDS,NA,NA,NA,NA,NA,34.96,33.02,29.29,29.29364264,26.90705035,21.24182336,21.17341255,23.36715112,25.88743104
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,WB Income levels 2021,Low income,NA,NA,NA,NA,NA,43.85,33.445,24.95,20.83523548,20.20329177,21.24250836,21.24250836,19.23242002,19.51959301
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,WB Income levels 2021,Lower middle income,NA,NA,NA,NA,NA,32.585,25.52,21.555,17.22308516,16.30488584,13.71079365,12.26885766,12.01567308,12.6445939
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,WB Income levels 2021,Upper middle income,NA,NA,NA,NA,NA,26.67,24.195,19.245,17.43214541,17.73210073,18.71158101,20.10025312,19.45514765,19.15691811
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,WB Income levels 2021,High income,NA,NA,NA,NA,NA,20.58,18.23,17.32,17.18485618,19.07268319,19.30515616,19.82996066,21.37892058,16.50406394
PPP,Data-only mobile broadband,Data-only mobile broadband 2GB,127,WB Income levels 2021,low and middle income,NA,NA,NA,NA,NA,29.655,25.915,20.595,18.59120071,18.10988463,16.9240619,17.29939804,16.89162163,17.55247055
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,ITU BDT Regions,Africa,42.36,39.39,33,26.02,23.55,22.23,20.8,20.8,19.7,20.45080922,16.22948701,16.22948701,15.79420377,13.88384861
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,ITU BDT Regions,Arab States,24.46,26.48,25.02,25.75,25.8,20.54,18.7,18.7,17.8,17.35827051,9.493818089,11.27573471,8.652932979,16.68054478
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,ITU BDT Regions,Asia & Pacific,20.18,11.83,17.7,17.39,12.85,12.13,10.9,11.8,10.8,14.59301199,14.3274597,14.3274597,11.85070207,14.03651791
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,ITU BDT Regions,CIS countries,24.555,22.305,17.68,17.26,16.995,15.73,16.4,15.4,9.05,8.950011741,6.436428993,6.683729588,8.943772653,9.080317801
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,ITU BDT Regions,Europe countries,29.44,30.96,27.04,28.34,25.54,22.28,21.8,19.5,19.8,20.05168821,16.27562411,16.47354602,17.69813242,12.13447258
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,ITU BDT Regions,The Americas,28.805,27.77,26.18,25.52,26.895,25.81,26.15,25.5,26.15,26.5529929,21.26341663,21.68108041,22.83252157,21.08297717
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,World,World,27.48,27.495,24.865,25.285,22.88,22.06,21.25,19.6,19.1,19.78894618,16.26627239,16.5773634,16.94042578,13.62879475
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,LDC,LDC,38.65,36.66,33,25.73,23.55,22.16,22.9,20.8,19.7,19.9725362,15.53869577,15.53869577,16.83828749,11.68169325
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,LLDC,LLDC,30.45,29.18,28.94,23.98,21.47,22.19,21.5,17.7,17.2,18.03994283,16.27562411,17.08840109,17.69813242,13.45491823
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,SIDS,SIDS,24.46,24.41,22.27,22.87,21.15,22.23,20.8,22.6,22.9,26.08173068,21.01533817,21.16985455,21.69652095,26.96590986
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,WB Income levels 2021,Low income,46.9,42.405,41.54,29.475,28.725,29.175,29.5,29.5,25.7,21.6068782,17.18567086,21.34420106,15.16216455,13.2224543
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,WB Income levels 2021,Lower middle income,29.945,27.625,25.57,24.4,20.935,20.615,19.1,19.4,19.05,20.70959102,15.88409139,15.88409139,16.0550843,14.33554179
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,WB Income levels 2021,Upper middle income,26.7,26.01,23.66,23.12,24.69,22.24,21.5,19,19.6,19.90252783,15.89366335,16.39362582,16.66543631,13.13515446
PPP,Mobile-cellular basket – low usage,Mobile-cellular basket – low usage (70min+20sms),124,WB Income levels 2021,High income,24.46,27.2,24.91,26.2,22.86,21.41,20.1,19.5,17.8,18.45865209,16.72281303,17.58195138,18.85347364,13.67598464
